"rank","source_path","analysis_path","score","confidence","has_schema_warning","table_count","total_row_count","review_status","reviewer","reviewed_at_utc","decision_basis","notes"
"1","C:\AppSogelink\ERAS_Connect_2026\CLIENT\client.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\client__1f83fae2dd07.mdb","66","high","False","6","1680","needs_followup","","","",""
"2","C:\AppSogelink\ERAS_Connect_2026\CLIENT\ITRv4\ITRv4.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ITRv4__96f0e20272d7.mdb","63","high","False","6","799","needs_followup","","","",""
"3","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\c11_201.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\c11_201__93b63352fc8c.mdb","57","high","False","17","40248","needs_followup","","","",""
"4","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\Comac.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\Comac__a44696bcf1b0.mdb","57","high","False","10","38419","needs_followup","","","",""
"5","C:\AppSogelink\ERAS_Connect_2026\CLIENT\ITRv3\ITRv3.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ITRv3__fd5013017036.mdb","56","high","False","6","836","needs_followup","","","",""
"6","C:\AppSogelink\ERAS_Connect_2026\CLIENT\ITRv2\ITRv2.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ITRv2__fe69b72ac86c.mdb","56","high","False","6","807","needs_followup","","","",""
"7","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\SYSTEME.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\SYSTEME__4de4eb1693b5.mdb","55","high","False","7","37","needs_followup","","","",""
"8","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\Atlog\Atlog.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\Atlog__13e47fb7fde8.mdb","50","high","False","6","1665","needs_followup","","","",""
"9","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\ENEDIS23\ENEDIS23.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ENEDIS23__b95c26b01fba.mdb","48","high","False","6","799","needs_followup","","","",""
"10","C:\AppSogelink\ERAS_Connect_2026\CLIENT\enedis23\enedis23.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis23__251ae5c84ddf.mdb","48","high","False","6","795","needs_followup","","","",""
"11","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\ENEDIS22\ENEDIS22.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\ENEDIS22__808ae9780ce5.mdb","48","high","False","6","721","needs_followup","","","",""
"12","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\enedis\enedis.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\enedis__4374f351ac85.mdb","48","high","False","6","603","needs_followup","","","",""
"13","C:\AppSogelink\ERAS_Connect_2026\CLIENT\Modele_SIG.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\Modele_SIG__27dc1b587e20.mdb","45","high","False","42","81","needs_followup","","","",""
"14","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\FTTH\FTTH.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\FTTH__bade89b41e5f.mdb","40","high","False","6","430","needs_followup","","","",""
"15","C:\AppSogelink\ERAS_Connect_2026\SYSTEME\EauAss\eauAss.mdb","C:\Users\killi\Documents\0 - Playground\ERAS-MCP\artifacts\work\eras_mdb\eauAss__c1a041defdd1.mdb","40","high","False","6","94","needs_followup","","","",""
